word,translation
Atheist,atheist
Atheistin,female atheist
atheistisch,atheistic
Athem,Obsolete spelling of Atem which was deprecated in 1902 following the Second Orthographic Conference of 1901.
Athen,Athens (the capital city of Greece)
Athene,Athena
Athener,Athenian (a native or inhabitant of Athens)
athenisch,Athenian
athermisch,"athermic, athermal"
Atherom,atheroma
Athlet,athlete
Athletenherz,athlete's heart
Athletik,athletics
athletisch,athletic
Atlantik,the Atlantic Ocean
Atlantik-Bastardschildkröte,Kemp's ridley (Lepidochelys kempii)
Atlantiker,Atlanticist (male or of unspecified gender)
Atlantikerin,Atlanticist (female)
Atlantis,Atlantis
atlantisch,Atlantic
Atlantischer Ozean,Atlantic Ocean (the ocean lying between the Americas to the west and Europe and Africa to the east)
Atlas,atlas (bound collection of maps)
Atlas-Zeder,"Atlas cedar, Cedrus atlantica"
Atlasbär,"Atlas bear or Ursus arctos crowtheri, an extinct population of brown bear native to North Africa that went extinct in historical times."
Atlasgebirge,"Atlas Mountains (a mountain range in northwestern Africa, occupying portions of Morocco, Algeria, and Tunisia)"
atlassen,composed of atlases
Atlatl,atlatl
atmen,to breathe
atmend,"breathing, respiring"
Atmer,agent noun of atmen
Atmosphäre,atmosphere
Atmosphärenchemie,atmospheric chemistry
Atmosphärendruck,atmospheric pressure
Atmosphärenphysik,atmospheric physics
Atmosphärenphysiker,atmospheric physicist
atmosphärisch,atmospheric (relating to the atmosphere)
Atmung,"respiration, breathing"
atmungsaktiv,breathable (of clothing)
Atmungskette,respiratory chain
Atoll,atoll
Atom,atom
Atom-Jagd-U-Boot,nuclear-powered attack submarine
Atom-U-Boot,nuclear submarine
Atom-Unterseeboot,nuclear submarine
Atomabkommen,nuclear deal (agreement (between countries) regarding nuclear affairs)
Atomabsorptionsspektrometrie,atomic absorption spectrometry
Atomabsorptionsspektroskopie,atomic absorption spectroscopy
Atomabstand,interatomic distance
Atomangriff,"nuclear attack, nuclear strike"
atomar,atomic
Atomausstieg,nuclear power phase-out
atombetrieben,"atomic-powered, nuclear-powered"
Atomblitz,atomic flash
Atombombe,"atomic bomb, nuclear bomb"
Atombombenabwurf,atomic bombing
Atombombenexplosion,atomic bomb explosion
Atombunker,fallout shelter
Atomemissionsspektrometrie,atomic emission spectroscopy
Atomenergie,"atomic energy, nuclear energy (energy released by an atom)"
Atomfluoreszenzspektrometrie,atomic fluorescence spectrometry
atomgetrieben,nuclear powered
Atomgewicht,atomic weight
atomisieren,to atomize
atomistisch,atomistic
Atomkern,"nucleus (the massive, positively charged core of an atom)"
Atomkraft,nuclear power (power from nuclear reactions)
Atomkraftwerk,nuclear power plant
Atomkrieg,nuclear war
Atommacht,nuclear power (nation with nuclear weapons)
Atommasse,atomic mass (mass of an atom)
Atommodell,atomic model
Atommüll,nuclear waste
Atommülllager,nuclear waste disposal site
Atomorbital,atomic orbital
Atomphobie,"the irrational fear of nuclear technology, in particular nuclear power plants"
Atomphysik,atomic physics
Atomphysiker,atomic physicist
Atomphysikerin,nuclear physicist (female)
Atompilz,a mushroom cloud following a nuclear explosion
Atomprozent,atom percent
Atomradius,atomic radius
Atomrakete,nuclear missile
Atomreaktor,synonym of Kernreaktor
Atomspaltung,synonym of Kernspaltung (nuclear fission)
Atomspektrometrie,atomic absorption spectroscopy
Atomspektroskopie,atomic absorption spectroscopy
Atomsprengkopf,nuclear warhead
Atomstreitkraft,a nation's nuclear force
Atomstrom,nuclear power
Atomtheorie,atomic theory
Atomuhr,atomic clock
Atomunterseeboot,nuclear submarine
Atomwaffe,nuclear weapon
Atomwaffentest,nuclear weapon test
Atomzeitalter,Atomic Age
atonal,atonal
atopisch,atopic
atoxisch,atoxic
Atrazin,atrazine
Atreide,Atreid
Atriopeptin,atriopeptin
Atrium,atrium (square hall)
Atriumhaus,A house with a central courtyard
Atrophie,atrophy (reduced functionality of an organ)
atrophisch,atrophic
Atropin,atropine
att.,abbreviation of attisch (“Attic”)
Attaché,attaché
Attacke,attack
attackieren,to attack
Attalien,Attalia (an ancient city in modern Turkey
Attendorn,"a town in Olpe district, North Rhine-Westphalia"
Attentat,attack
Attentäter,"attacker, assassin (one who kills, or attempts to kill, for ideological reasons)"
Attentäterin,"female attacker, assassin"
Attest,medical certificate
attestieren,to certificate
Atticismus,obsolete spelling of Attizismus
Attika,Attica (a peninsula and regional unit of Greece)
Attikawohnung,penthouse
Attila,Attila
attisch,Attic
attisches Salz,Attic salt
Attitüde,attitude
Attometer,"attometer, attometre"
Attraktion,attraction
attraktiv,"attractive, fetching"
attraktivieren,"to render attractive, to prettify"
Attraktivität,attractiveness
Attrappe,"dummy, mockup, decoy"
Attribut,"attribute (characteristic, (essential) feature)"
attributiv,"attributive (of, or being an attribute)"
Attributsatz,clausal postmodifier
atypisch,atypical
Atzbach,"a municipality of Upper Austria, Austria"
Atze,a male given name
Atzenbrugg,"a municipality of Lower Austria, Austria"
Atzesberg,"a municipality of Upper Austria, Austria"
Atzung,feeding
Au,apocopic form of Aue
Au-pair,au pair
aua,"ouch, ow (expression of one's own physical pain)"
Auberg,"a municipality of Upper Austria, Austria"
Aubergine,"aubergine, eggplant (plant, vegetable, herb)"
auberginefarben,aubergine (in colour)
auch,"also, too, as well (in addition to whatever or whoever has previously been listed)"
auch andere Mütter haben schöne Töchter,there are plenty of fish in the sea
auch ein blindes Huhn findet mal ein Korn,success depends in part on coincidence
auch nur mit Wasser kochen,"to put one's pants on one leg at a time (indicating that others are not performing better, are not superior, are nothing special)"
auch so,"likewise!, same to you!, you too!"
Audi,"Audi AG, a German automobile manufacturer."
Audienz,audience (formal meeting with a state or religious dignitary)
Audimax,the largest lecture hall of a university (or similar institution)
Audio,audio recording
Audiobook,synonym of Hörbuch
Audiobuch,synonym of Hörbuch
Audiodatei,audio file
audiophil,audiophile
Audiothek,audio library
audiovisuell,audiovisual
auditieren,to audit
Audition,audition
auditiv,auditory
Auditorium,auditorium (usually in the context of universities or scholarly lectures)
Aue,"flood meadow, floodplain (a flat grassy area adjacent to a river bed, subject to seasonal flooding)"
Auerbach,any of several brooks in Austria and Germany
Auerbacher,a native or inhabitant of Auerbach
Auerhahn,male capercaillie or wood grouse (Tetrao urogallus)
Auerhuhn,"capercaillie, wood grouse (Tetrao urogallus)"
Auerochse,aurochs
Auerrind,aurochs
Auersthal,"a municipality of Lower Austria, Austria"
Auerstrumpf,gas mantle
auf,"[with dative] on, upon (positioned at the top of)"
auf 180,"fuming, enraged"
auf allen vieren,on all fours
auf alten Pferden lernt man reiten,synonym of auf alten Schiffen lernt man segeln
auf alten Schiffen lernt man segeln,Older sexual partners are preferable for learning the art of love.
auf Anhieb,"first time, at first go, instantly"
auf Biegen und Brechen,by hook or by crook
auf dass,"so that, (in order) that"
auf dem absteigenden Ast sein,"to go south, to take a turn for the worse"
auf dem Damm,"well, fit, capable, usually after a period of illness or the like"
auf dem falschen Dampfer,"incorrect, on the wrong track, off the mark"
auf dem Holzweg sein,to be on the wrong track
auf dem Kerbholz haben,to have a shady past
auf dem Kieker,on a close watch
auf dem Kriegspfad,on the warpath
auf dem Laufenden,"au courant, fully informed, in the loop, updated, up to date, up to speed"
auf dem Laufenden halten,"to keep (someone) in the loop, to keep (someone) informed, to keep (someone) up-to-date"
auf dem neuesten Stand,up to date
auf dem neuesten Stande,dated form of auf dem neuesten Stand
auf dem neusten Stande,dated form of auf dem neuesten Stand
auf dem Papier,on paper
auf dem richtigen Dampfer,on the right track
auf dem Schirm,on someone's radar
auf dem Schlauch stehen,"to be puzzled, to be at a loss (to not understand something immediately)"
auf dem Silbertablett,on a silver platter
auf dem Sofa,"Used other than figuratively or idiomatically: see auf, dem, Sofa."
auf dem Spektrum,on the spectrum
auf dem Spiel stehen,"to be at stake, to be on the line, to be at issue, to be at risk"
auf dem Sterbebett,on one's deathbed (in awareness of one’s imminent death)
auf dem Teppich bleiben,to keep one's feet on the ground
auf dem Weg,on the way
auf dem Zahnfleisch,"on one's last legs, running on fumes (close to collapsing from a lack of energy, engagement, resources, etc.)"
auf den Arm nehmen,"to pick up (a child, animal) and carry it"
auf den Beinen,standing
auf den ersten Blick,"at first sight, at first glance"
auf den Geist gehen,synonym of auf die Nerven gehen
auf den Hund kommen,to go to the dogs
auf den Keks gehen,synonym of auf die Nerven gehen
auf den Leim gehen,to be fooled by someone
auf den neuesten Stand bringen,to update
auf den Nägeln brennen,"to weigh on someone's mind, to be urgent"
auf den Plan rufen,"to cause (someone, especially a group) to act decisively"
auf den Punkt kommen,to get to the point
auf den Sack gehen,to get on someone's nerves
auf den Schlips treten,"to offend, to insult, to step on the toes of"
auf den Senkel gehen,synonym of auf die Nerven gehen
auf den Tag,to the day
auf den Tag genau,to the day
auf den Wecker gehen,synonym of auf die Nerven gehen
auf den Zahn fühlen,to investigate or question (in depth)
auf den Zeiger gehen,synonym of auf die Nerven gehen
auf den Zug aufspringen,to jump on the bandwagon
auf der anderen Seite,on the other hand
auf der Bärenhaut liegen,to laze
auf der einen Seite,on the one hand
auf der faulen Haut liegen,to laze around
auf der Flucht,on the run (fleeing)
auf der gleichen Wellenlänge,on the same wavelength
auf der grünen Wiese,on a greenfield site
auf der Hand liegen,to be obvious
auf der Hut sein,"to be on one's guard, to be on guard"
auf der Kippe,"in a shaky, unsteady position"
auf der Leitung stehen,"to be slow on the uptake, to be at a loss (to not understand something immediately)"
Auf der Maur,"a Swiss surname, Auf der Maur"
auf der Nase herumtanzen,"to do whatever one wants, despite another’s authority"
auf der Stelle,"immediately, on the spot"
auf der Stelle treten,"to make no progress, to tread water"
auf der Strecke bleiben,to fall by the wayside
auf die Barrikaden gehen,to protest
auf die Beine stellen,"to set up, to mount"
auf die Folter spannen,"to torture by putting in an unpleasant state of excitation, inquisitiveness or anticipation, usually by not giving a desired piece of information"
auf die leichte Schulter nehmen,to make light of
auf die Nase binden,to reveal (i.e. a secret)
auf die Nerven gehen,"to get on someone's nerves, to annoy"
auf die Palme bringen,to drive someone up the wall
"auf die Plätze, fertig, los","ready, set, go!"
auf die Schippe nehmen,"to send up, satirise, mock"
auf die Sprünge helfen,to help someone to get started or get along
auf die Tränendrüse drücken,to tug at the heartstrings
auf Du und Du stehen,"to be on first-name terms, (i.e. be able to use the informal du)"
auf dünnem Eis,on thin ice
auf eigene Faust,"off one's own bat, on one's own hook (on one's own, without aid or oversight by others, especially from those more experienced or powerful)"
auf eigene Gefahr,at one's own risk
auf eigenen Beinen stehen,to stand on one's own two feet
auf einem anderen Blatt stehen,"to be another matter, to be a different story"
auf einem Bein kann man nicht stehen,used to encourage someone to have another drink after their first
auf einen Nenner bringen,"to reconcile, to combine"
auf einen Sprung vorbeikommen,"drop by, pop in"
auf einmal,"at once, at a time, in one go"
auf Erden,on the face of the earth
auf etwas Gift nehmen können,"to bet one's bottom dollar, to bet the farm (to be absolutely sure of something)"
auf ex trinken,"to down, to drink up in one draught"
auf freiem Fuß,"free, at large, released (not in prison or jail, either before being caught, out on bail, or after being released)"
auf freiem Fuß sein,to be on the loose
auf frischer Tat,"in the act, red-handed"
auf Gedeih und Verderb,for better or worse
auf geht's,"come on, c'mon"
auf großem Fuß leben,"to have an expensive life-style, to live the high life"
auf gut Deutsch,"clearly, bluntly, possibly involving bad language"
auf gutem Fuß stehen,to be on good terms
auf halb acht,in a position where it is at risk of falling
auf Heller und Pfennig,to the last penny
auf Herz und Nieren prüfen,to investigate something thoroughly
auf Hochtouren,"in full swing, at full speed"
auf Ihre Gesundheit,to your health
auf jeden,ellipsis of auf jeden Fall
auf jeden Fall,"definitely, absolutely"
auf jeden Topf passt ein Deckel,every Jack has his Jill
auf jemandes Nacken,"on someone's tab, paid for by someone"
auf keine Kuhhaut gehen,to be unbelievable
auf keinen Fall,"under no circumstances, no way, by no means, no chance, absolutely not"
auf keinen grünen Zweig kommen,"to get nowhere, to not be able to accomplish anything"
auf Kipp,"tilted, partially open"
auf Kriegsfuß,on the warpath
auf links,inside out
auf lock,casually
auf Lunge,into the lungs (in the context of smoking)
auf Messers Schneide,on the line
auf Nimmerwiedersehen,"good riddance!, see you never!"
auf Nummer sicher,"safe, avoiding risks"
auf Nummer sicher gehen,to play it safe
auf offener Straße,in broad daylight
auf Pump,on credit
