word,translation
aasig,putrid
Aasinsekt,carrion insect
Aasjäger,pothunter (male or of unspecified gender)
Aasjägerei,pothunting
Aaskrähe,carrion crow
Aaskäfer,carrion beetle
Aasseite,flesh side
Aasvogel,bird feeding on carrion
aav.,abbreviation of altavestisch (“Old Avestan”)
Aayden,"a male given name from Irish, variant of Aidan"
Aaß,obsolete spelling of Aas
ab,beginning at that time or location
ab dafür,"go, let's go"
ab durch die Mitte,off we go
ab initio,ab initio
ab messen,misspelling of abmessen
ab ovo,ab ovo
ab und zu,"now and then, occasionally"
ab-,"Separable verb prefix that indicates removal or quitting, off, away."
AB-Aktion,abbreviation of Außerordentliche Befriedungsaktion
AB-Whg.,abbreviation of Altbauwohnung
Aba,aba
abaissiert,abaissé
Abaka,abaca (plant)
abakteriell,abacterial
Abakus,"abacus (table with balls on wires or counters in groves, for counting)"
Abalienation,"abalienation, alienation, estrangement"
abalienieren,"to divest (oneself) (of something), to dispose of something, to alienate (for example) property"
Abalone,abalone (edible univalve mollusc)
Abandon,abandonment
abandonnieren,to abandon
ABAP,acronym of allgemeiner Berichts-Aufbereitungs-Prozessor
abarbeiten,"to work off (a debt, the items on a to-do list, etc)"
Abart,"subspecies, subkind, subvariety"
abarten,"to deviate, to degenerate"
abartig,"deviant, abnormal"
Abartigkeit,"deviance, abnormality"
Abartung,a deviation or degeneration from something's normal state
Abasie,abasia (incapacity to walk)
Abate,abbot
abatisch,abasic
Abaton,abaton
abaxial,abaxial
Abb.,abbreviation of Abbildung
abbaggern,to remove with an excavator
Abbaggerung,removal with the help of an excavator
abballern,to shoot dead
Abbaside,Abbasid
abbasidisch,Abbasid
Abbau,"dismantling, demolition"
abbaubar,degradable
Abbaubarkeit,degradability
abbauen,"to dismantle, disassemble"
Abbauerscheinung,degenerative change
Abbaugerechtigkeit,mining rights
Abbaugeschwindigkeit,"degradation rate, decomposition rate (of organic matter)"
Abbaumethode,mining method
Abbauort,mining site
Abbauprodukt,product of the decomposition of a long-chain molecule
Abbauprozess,degradation process
abbauwürdig,"exploitable, workable"
abbeeren,to destem
Abbeförderung,"dispatching, removal"
abbehalten,to keep off
abbeissen,Switzerland and Liechtenstein standard spelling of abbeißen
abbeizen,"to strip, to pickle (remove paint, lacquer, etc.)"
Abbeizmittel,"paint remover, paint stripper"
abbeißen,to bite off
abbekommen,to get a share of something (pleasant or unpleasant)
abberufen,to withdraw
Abberufung,"dismissal, revocation"
abbestellen,to cancel a subscription
abbestellt,"canceled (subscription, ordered taxi etc.)"
Abbestellung,cancellation (of an order)
abbetteln,scrounge sth off or from smb
abbeuteln,"to shake off, to shake something to remove things from it"
abbezahlen,"to pay off (e.g., a debt, a loan, etc.)"
Abbezahlung,repayment
abbiegen,"to turn, to turn off"
Abbiegespur,"filter lane, turning lane"
Abbiegung,bend
Abbild,"image, reflection"
abbildbar,imageable
abbilden,"to portray, to depict, to picture"
Abbildung,"depiction, image, figure, picture, illustration"
Abbildungsfehler,"aberration, image defect"
Abbildungsfreiheit,freedom of the press to publish pictures of people of public interest
Abbildungsmaßstab,image scale
Abbildungstechnik,synonym of Abbildungstechnologie
Abbildungstechnologie,imaging technology
Abbindebeschleuniger,accelerant (construction material)
Abbindegeschwindigkeit,"setting speed (of concrete, etc.)"
abbinden,"to untie, undo"
Abbiss,devil's bit scabious (Succisa pratensis).
Abbitte,"apology, request to be forgiven"
abbitten,to ask for pardon for
abblasen,"to blow off something (e.g., dust)"
Abblaseventil,relief valve
abblassen,"to fade, to fade away"
abbleiben,to be located (in an unknown place)
abblenden,to dim
Abblendlicht,"anti-dazzle light, low-beam, dimmed light"
abblitzen,to misfire
abblocken,to block
abblättern,"to chip off, to peel off, to flake off"
abblätternd,"flaking, peeling off, shedding"
abblühen,to wither
Abbrand,burnup
abbrechen,to break off (remove by breaking)
Abbrecher,dropout
Abbrecherquote,dropout rate
abbremsen,"to slow down, decelerate"
abbrennen,"to set fire to, to destroy by fire"
abbrennend,"burnt, scorched"
Abbreviation,abbreviation
Abbreviatur,abbreviation
abbreviieren,to abbreviate
abbringen,"to dissuade, discourage, put/throw off course"
Abbruch,demolition
Abbrucharbeiter,demolition worker (male or of unspecified gender)
Abbruchbirne,wrecking ball
Abbruchfirma,demolition company
Abbruchgenehmigung,demolition permit
Abbruchhaus,condemned building
Abbruchkante,escarpment
abbruchreif,ramshackle
Abbruchunternehmen,demolition company
abbrummen,to do time
abbröckeln,to crumble away
abbrühen,"scald, blanch"
abbuchen,to debit
Abbuchung,"debit, direct debit, debiting (procedure)"
abbusseln,"to cover someone with kisses (not in an erotic manner, mostly on the cheek)"
Abbé,abbé
abbügeln,"to brush off (To disregard something, to dismiss or ignore someone.)"
abbüßen,to recompense for something through penance
ABC,"initialism of atomar, biologisch und chemisch (“NBC”)"
Abc-Buch,primer (book)
ABC-Schütze,nonstandard form of Abc-Schütze
ABC-Waffen,NBC weapons
ABC-Waffen-frei,NBC-weapons-free
abcashen,to cash in (possibly in a ruthless or dubious manner)
Abchase,Abkhaz (person from Abkhazia)
Abchasien,Abkhazia (a geographic region and de-facto independent but largely unrecognized country in the Caucasus on the border of Europe and Asia
Abchasisch,Abkhaz (a Northwest Caucasian language spoken in Abkhazia)
abchecken,to check out
Abdach,canopy
abdachen,to slope (to exhibit a slope)
Abdampf,"exhaust steam, waste steam"
Abdampfen,"evaporation, vaporization"
Abdampfentöler,exhaust-steam oil separator
Abdampfrate,rate of evaporation
Abdampfschale,evaporating dish
Abdampfturbine,exhaust-steam turbine
abdanken,to resign
abdankend,"abdicating, resigning"
Abdankung,resignation
Abdankungsgrund,reason for resignation
abdecken,to cover
Abdecker,knacker (one who deals with animal cadavers)
Abdeckfolie,cover sheeting
Abdeckpapier,masking paper
Abdeckplane,tarpaulin
Abdeckplatte,panel
Abdeckung,"cover, covering"
Abdera,"Abdera (an ancient city in Thrace, in modern Greece)"
Abderit,"Abderian, Abderite (of male or unspecified sex)"
abderitisch,abderitic
Abdestillation,fractional distillation
abdestillieren,to distil off (remove by distillation)
abdichten,to seal (prevent leakage)
Abdichtung,"sealing, seal"
Abdikation,abdication
abdikativ,abdicative
abdingbar,"amendable, cancellable"
abdirigieren,to direct away
abdizieren,to abdicate (to relinquish a position of power)
abdocken,to unwind
Abdomen,abdomen
abdominal,abdominal
abdominell,abdominal
abdrehen,to veer
abdreschen,to thresh
abdriften,to drift off course
